2025.09.14	09:00:00.280	9348.01	9348.27			6
2025.09.14	09:00:01.246	9348.35	9348.61			6
2025.09.14	09:00:02.251	9348.27	9348.53			6
2025.09.14	09:00:03.246	9348.30	9348.56			6
2025.09.14	09:00:04.256	9348.46	9348.72			6
2025.09.14	09:00:05.253	9348.45	9348.71			6
2025.09.14	09:00:06.260	9348.29	9348.55			6
2025.09.14	09:00:07.245	9348.08	9348.34			6
2025.09.14	09:00:08.259	9348.17	9348.43			6
2025.09.14	09:00:09.251	9348.23	9348.49			6
2025.09.14	09:00:10.251	9348.45	9348.71			6
2025.09.14	09:00:11.246	9348.43	9348.69			6
2025.09.14	09:00:12.258	9348.39	9348.65			6
2025.09.14	09:00:13.246	9348.32	9348.58			6
2025.09.14	09:00:14.259	9348.26	9348.52			6
2025.09.14	09:00:15.247	9348.41	9348.67			6
2025.09.14	09:00:16.260	9348.25	9348.51			6
2025.09.14	09:00:17.254	9347.76	9348.02			6
2025.09.14	09:00:18.254	9347.78	9348.04			6
2025.09.14	09:00:19.248	9347.84	9348.10			6
2025.09.14	09:00:20.251	9347.91	9348.17			6
2025.09.14	09:00:21.247	9347.84	9348.10			6
2025.09.14	09:00:22.255	9347.89	9348.15			6
2025.09.14	09:00:23.252	9347.58	9347.84			6
2025.09.14	09:00:24.262	9347.45	9347.71			6
2025.09.14	09:00:25.254	9347.39	9347.65			6
2025.09.14	09:00:26.258	9347.32	9347.58			6
2025.09.14	09:00:27.251	9347.51	9347.77			6
2025.09.14	09:00:28.259	9347.27	9347.53			6
2025.09.14	09:00:29.259	9347.15	9347.41			6
2025.09.14	09:00:30.257	9347.03	9347.29			6
2025.09.14	09:00:31.251	9346.93	9347.19			6
2025.09.14	09:00:32.261	9346.88	9347.14			6
2025.09.14	09:00:33.251	9346.71	9346.97			6
2025.09.14	09:00:34.258	9346.74	9347.00			6
2025.09.14	09:00:35.254	9346.67	9346.93			6
2025.09.14	09:00:36.260	9346.81	9347.07			6
2025.09.14	09:00:37.251	9346.55	9346.81			6
2025.09.14	09:00:38.259	9346.60	9346.86			6
2025.09.14	09:00:39.249	9346.64	9346.90			6
2025.09.14	09:00:40.258	9346.69	9346.95			6
2025.09.14	09:00:41.251	9346.66	9346.92			6
2025.09.14	09:00:42.257	9346.75	9347.01			6
2025.09.14	09:00:43.251	9346.48	9346.74			6
2025.09.14	09:00:44.257	9346.73	9346.99			6
2025.09.14	09:00:45.250	9346.59	9346.85			6
2025.09.14	09:00:46.254	9346.70	9346.96			6
2025.09.14	09:00:47.252	9346.46	9346.72			6
2025.09.14	09:00:48.264	9346.58	9346.84			6
2025.09.14	09:00:49.257	9346.55	9346.81			6
2025.09.14	09:00:50.265	9346.43	9346.69			6
2025.09.14	09:00:51.256	9346.08	9346.34			6
2025.09.14	09:00:52.259	9346.03	9346.29			6
2025.09.14	09:00:53.257	9346.17	9346.43			6
2025.09.14	09:00:54.260	9346.04	9346.30			6
2025.09.14	09:00:55.265	9346.16	9346.42			6
2025.09.14	09:00:56.260	9346.38	9346.64			6
2025.09.14	09:00:57.252	9346.49	9346.75			6
2025.09.14	09:00:58.262	9346.47	9346.73			6
2025.09.14	09:00:59.252	9346.49	9346.75			6
2025.09.14	09:01:00.268	9346.36	9346.62			6
2025.09.14	09:01:01.269	9346.29	9346.55			6
2025.09.14	09:01:02.258	9346.30	9346.56			6
2025.09.14	09:01:03.256	9346.18	9346.44			6
2025.09.14	09:01:04.260	9346.25	9346.51			6
2025.09.14	09:01:05.251	9346.29	9346.55			6
2025.09.14	09:01:06.261	9346.37	9346.63			6
2025.09.14	09:01:07.250	9346.39	9346.65			6
2025.09.14	09:01:08.259	9346.32	9346.58			6
2025.09.14	09:01:09.254	9346.43	9346.69			6
2025.09.14	09:01:10.259	9346.68	9346.94			6
2025.09.14	09:01:11.253	9346.59	9346.85			6
2025.09.14	09:01:12.258	9346.64	9346.90			6
2025.09.14	09:01:13.254	9346.53	9346.79			6
2025.09.14	09:01:14.257	9346.85	9347.11			6
2025.09.14	09:01:15.252	9347.02	9347.28			6
2025.09.14	09:01:16.257	9347.01	9347.27			6
2025.09.14	09:01:17.250	9346.84	9347.10			6
2025.09.14	09:01:18.254	9346.91	9347.17			6
2025.09.14	09:01:19.249	9347.22	9347.48			6
2025.09.14	09:01:20.263	9347.15	9347.41			6
2025.09.14	09:01:21.250	9347.05	9347.31			6
